PARAMETER;YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;ANN
Precipitation;2003;10.55;5.27;10.55;5.27;5.27;0;0;0;0;0;0;5.27;5.27
Precipitation;2004;5.27;5.27;10.55;0;10.55;0;0;0;0;0;0;5.27;5.27
Precipitation;2005;10.55;5.27;10.55;5.27;0;0;0;0;0;0;5.27;10.55;5.27
Precipitation;2006;15.82;15.82;10.55;15.82;5.27;5.27;5.27;0;0;0;0;5.27;5.27
Precipitation;2007;10.55;10.55;15.82;5.27;5.27;5.27;0;5.27;0;5.27;5.27;5.27;5.27
Precipitation;2008;5.27;5.27;15.82;5.27;5.27;5.27;5.27;5.27;5.27;5.27;10.55;10.55;5.27
Precipitation;2009;10.55;15.82;15.82;5.27;5.27;5.27;0;5.27;0;5.27;5.27;10.55;5.27
Precipitation;2010;10.55;10.55;10.55;15.82;5.27;5.27;0;5.27;10.55;10.55;10.55;10.55;10.55
Precipitation;2011;10.55;10.55;15.82;10.55;5.27;5.27;5.27;0;5.27;0;5.27;10.55;5.27
Precipitation;2012;10.55;10.55;15.82;10.55;15.82;5.27;5.27;5.27;5.27;5.27;5.27;5.27;5.27
Precipitation;2013;15.82;15.82;10.55;10.55;10.55;10.55;0;0;0;5.27;5.27;10.55;5.27
Precipitation;2014;10.55;15.82;5.27;15.82;5.27;0;5.27;5.27;0;0;5.27;5.27;5.27
Precipitation;2015;10.55;10.55;10.55;5.27;5.27;0;0;0;0;0;0;5.27;5.27
Precipitation;2016;0;15.82;10.55;5.27;5.27;5.27;5.27;5.27;5.27;0;5.27;10.55;5.27
Precipitation;2017;10.55;10.55;10.55;15.82;5.27;5.27;5.27;0;5.27;5.27;5.27;5.27;5.27
Precipitation;2018;10.55;10.55;10.55;5.27;5.27;0;0;0;0;0;5.27;5.27;5.27
Precipitation;2019;15.82;5.27;21.09;10.55;5.27;5.27;0;5.27;0;5.27;5.27;5.27;5.27
Precipitation;2020;10.55;10.55;15.82;10.55;5.27;5.27;0;5.27;5.27;5.27;5.27;5.27;5.27
Precipitation;2021;10.21;7.35;12.93;9.38;6.5;4.18;8.05;3.78;3.72;3.05;8.49;12.62;7.53
Precipitation;2022;10.47;11.06;12.89;5.25;2.9;5.94;5.9;2.56;6.65;6.55;9.17;11.79;7.57
