PARAMETER;YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;ANN
T2M_MAX;2003;31.07;31.12;30.47;30.18;29.65;29.48;28.97;30.7;33.3;34.34;35.26;33.55;35.26
T2M_MAX;2004;30.49;31.17;30.75;30.17;30.24;28.47;28.15;30.68;32.77;35.89;35.19;34.99;35.89
T2M_MAX;2005;31.76;30.83;30.49;29.55;29.37;29.18;28.98;30.15;32.19;34.87;34.21;32.42;34.87
T2M_MAX;2006;29.94;30.84;30.08;30.42;29.94;28.8;28.44;27.57;29.41;33.01;35.76;34.88;35.76
T2M_MAX;2007;31.25;31.2;30.56;30.52;29.47;29.64;27.93;28.37;29.46;30.69;30.65;31.62;31.62
T2M_MAX;2008;31.65;31.15;30.26;29.63;28.76;28.64;28.48;28.66;29.22;30.26;31.78;30.81;31.78
T2M_MAX;2009;30.31;29.77;30.53;31.06;29.68;28.57;28.04;29.21;31.35;31.99;32.76;31.54;32.76
T2M_MAX;2010;30.51;31.44;30.9;30.76;30.11;29.72;29.63;29.39;29.88;30.5;30.83;30.65;31.44
T2M_MAX;2011;30.57;30.59;30.58;30.15;29.22;28.77;28.57;28.93;29.69;32.99;33.41;32.26;33.41
T2M_MAX;2012;31.11;31.07;30.13;30.17;28.74;28.19;28.58;28.44;29.27;31.41;32.55;33.01;33.01
T2M_MAX;2013;31.23;30.84;31.33;30.81;30.21;28.65;28.03;28.79;30.8;32.01;32.83;31.14;32.83
T2M_MAX;2014;31.35;31.42;30.7;30.4;29.94;29.18;27.5;27.93;29.87;32.91;34.4;34.02;34.4
T2M_MAX;2015;31.83;31.05;30.7;30.51;29.58;29.26;28.13;30.14;32.73;34.36;35.73;36.06;36.06
T2M_MAX;2016;35.9;33.7;31.89;31.11;30.42;30.04;28.65;29.67;30.69;30.87;33.36;33.72;35.9
T2M_MAX;2017;31.74;30.64;30.65;30.42;29.7;28.82;28.45;28.79;30.24;31.67;32.83;32.07;32.83
T2M_MAX;2018;30.83;31.41;30.84;30.5;29.56;28.47;28.19;29.1;30.35;34.23;34.5;33.98;34.5
T2M_MAX;2019;30.77;30.57;30.39;30.15;29.96;29.34;27.78;28.27;30.1;32.22;34.3;35.01;35.01
T2M_MAX;2020;32.74;31.28;31.16;30.64;29.73;28.87;28.46;28.9;30.19;31.83;32.19;31.15;32.74
T2M_MAX;2021;30.93;30.51;31.06;30.22;29.58;29.25;29.26;29.23;29.76;31.71;31.9;31.49;31.9
T2M_MAX;2022;30.55;30.98;31.3;30.69;30.01;29.88;28.98;29.55;30.37;31.86;31.25;31.08;31.86
T2M_MIN;2003;24.75;24.78;24.14;22.83;22.44;21.46;21.35;20.99;22.32;21.93;23.81;23.8;20.99
T2M_MIN;2004;24.77;24.69;24.76;23.2;24.14;20.64;20.19;19.59;22.08;21.43;23.75;25.48;19.59
T2M_MIN;2005;25.22;24.85;24.66;22.88;23.05;22.49;21.57;21.88;22.36;22.89;24.51;24.69;21.57
T2M_MIN;2006;24.88;24.26;24.21;24.59;23.87;23.12;20.97;19.81;21.86;21.15;22.98;24.86;19.81
T2M_MIN;2007;24.67;24.53;23.49;23.8;23.48;21.64;20.68;20.99;20.65;23.69;23.51;24.73;20.65
T2M_MIN;2008;24.4;24.62;24.25;23.28;21.84;22.69;20.09;21.23;22.83;23.65;24.83;24.65;20.09
T2M_MIN;2009;24.41;24.54;24.21;24.07;21.76;23.08;21.45;20.5;21.18;22.1;24.11;24.72;20.5
T2M_MIN;2010;24.57;24.69;24.96;25.1;24.7;22.9;23.23;23.91;22.92;24.25;23.98;24.07;22.9
T2M_MIN;2011;23.69;24.06;24.08;24.27;23.25;21.57;20.26;20.3;22.17;22.93;24.52;24.96;20.26
T2M_MIN;2012;24.75;24.06;24.01;22.67;24.19;21.26;21.4;20.87;21.08;21.92;23.78;24.55;20.87
T2M_MIN;2013;24.69;24.42;24.53;23.44;23.65;23.08;21.83;20.79;21.73;23;24.26;24.32;20.79
T2M_MIN;2014;24.14;23.98;23.57;24.29;23.4;22.96;21.27;21.59;19.94;20.97;24.08;24.63;19.94
T2M_MIN;2015;24.1;23.94;23.87;24.52;22.53;21.52;20.98;20.07;21.02;22.87;25.29;25.01;20.07
T2M_MIN;2016;25.37;24.43;25.41;25.1;24.69;23.58;22.44;22.08;23.87;22.26;25.17;24.99;22.08
T2M_MIN;2017;24.19;24.48;23.76;23.99;23.65;23.08;22.58;20.95;23;22.91;24.26;24.84;20.95
T2M_MIN;2018;24.68;24.19;23.28;23.56;23.21;21.93;20.73;21.24;20.66;21.6;24.91;25.05;20.66
T2M_MIN;2019;24.84;24.15;24.54;24.46;24.37;22.4;21.31;21.34;19.43;21.12;24.08;25.04;19.43
T2M_MIN;2020;25.01;25.24;24.99;25.05;23.63;23.42;21.66;21.44;22.3;22.92;24.42;24.72;21.44
T2M_MIN;2021;24.73;24.56;24.26;24.05;23.4;23.86;23.65;22.5;22.49;22.33;24.65;24.89;22.33
T2M_MIN;2022;24.3;23.55;23.98;24.26;24.05;24.34;22.13;21.65;23.53;25.03;24.93;24.99;21.65
